config_id,activation,layers,hidden,lr,batch,parameters,val_loss_mean,val_loss_std,val_loss_min,val_loss_max,test_mse,test_mae,test_rmse,best_seed
65,relu,5,7,0.01,64,276,0.2282101062403785,0.08744103983891538,0.14698889982700347,0.34957490372657773,20.37899398803711,2.1715550422668457,4.514309883117676,0
66,relu,5,7,0.01,128,276,0.1703039314481947,0.01671535024584975,0.14824438818295796,0.18869147543112436,20.36395835876465,2.182236909866333,4.512644290924072,0
67,relu,5,7,0.001,64,276,0.019261134337219928,0.004317342931817322,0.013240378526349862,0.023150175765156746,0.028149226680397987,0.1266709864139557,0.16777731478214264,1
68,relu,5,7,0.001,128,276,0.017255102977984483,0.0028256885053984278,0.014304541187981764,0.021064353053768477,0.03669484704732895,0.14184889197349548,0.19155898690223694,1
69,relu,5,8,0.01,64,347,0.016724122386839655,0.0025761360741905,0.013252594595154127,0.019417010466257732,0.03333922475576401,0.13645698130130768,0.1825903207063675,1
70,relu,5,8,0.01,128,347,0.017127282189826173,0.0014985745675004424,0.01527382456511259,0.01894401646653811,0.054808419197797775,0.16426700353622437,0.2341119796037674,2
71,relu,5,8,0.001,64,347,0.014464305727018253,0.0022281621464760883,0.011937400085230669,0.017358132963379225,0.02722962014377117,0.12161937355995178,0.16501399874687195,2
72,relu,5,8,0.001,128,347,0.015519577464295756,0.001033587716523684,0.014523876088360945,0.016944191028674442,0.04000616818666458,0.14055171608924866,0.20001542568206787,1
73,relu,6,3,0.01,64,84,0.4800942294862535,0.001392574492425588,0.47834688623746235,0.48175465981165566,35.755008697509766,4.767857551574707,5.979549407958984,1
74,relu,6,3,0.01,128,84,0.4800938492086199,0.0013923919522692558,0.4783462720712026,0.4817535217603048,35.748985290527344,4.767777919769287,5.979045391082764,1
75,relu,6,3,0.001,64,84,0.4405850516425239,0.05472790885083439,0.36319520060221355,0.4801878470579783,14.891470909118652,2.8806188106536865,3.8589468002319336,2
76,relu,6,3,0.001,128,84,0.4406021087964376,0.05472621208971335,0.36321457688013714,0.48019857207934064,14.89848804473877,2.880384922027588,3.859855890274048,2
77,relu,6,4,0.01,64,131,0.37848986411094665,0.07339129411672395,0.30963419636090594,0.4801753803888957,30.431583404541016,3.6463890075683594,5.516482830047607,2
78,relu,6,4,0.01,128,131,0.3333481723732418,0.01831843583139849,0.3074627764225006,0.3471893937587738,30.446840286254883,3.63431715965271,5.5178656578063965,2
79,relu,6,4,0.001,64,131,0.4356926759348975,0.06405109219316725,0.3451154384613037,0.48177920158704124,14.575268745422363,2.682915687561035,3.8177571296691895,1
80,relu,6,4,0.001,128,131,0.43568053107791477,0.06407815450646165,0.34506498924891155,0.48178360803922016,14.573965072631836,2.682776927947998,3.8175861835479736,1
81,relu,6,5,0.01,64,188,0.3685479247967402,0.15657632798013485,0.14711809821923574,0.4801813433965047,21.605459213256836,2.2331466674804688,4.648167133331299,2
82,relu,6,5,0.01,128,188,0.20792888187037573,0.0675985342004183,0.14624930040041606,0.30202264213562013,20.352561950683594,2.1609175205230713,4.511381149291992,0
83,relu,6,5,0.001,64,188,0.2240062145822578,0.18890093547011189,0.026178050885597864,0.4783981352647146,0.14116491377353668,0.2704888880252838,0.37571918964385986,2
84,relu,6,5,0.001,128,188,0.3174322800503837,0.13444533355269017,0.14931598873933155,0.4784060029188792,21.657184600830078,2.2567379474639893,4.653728008270264,2
85,relu,6,6,0.01,64,255,0.15580008070998722,0.011424814334663632,0.1472421398560206,0.1719475308259328,20.351871490478516,2.172300338745117,4.51130485534668,0
86,relu,6,6,0.01,128,255,0.2154796943151289,0.19454250206727364,0.018176691497365633,0.48018486618995665,0.05177437886595726,0.1767539083957672,0.22753983736038208,2
87,relu,6,6,0.001,64,255,0.06915278434256712,0.07106266921756449,0.018655087371667226,0.16965016361077626,0.05903048440814018,0.17553596198558807,0.24296189844608307,2
88,relu,6,6,0.001,128,255,0.1702369440893332,0.12325240111497805,0.019803654064734777,0.32170383834838867,0.06525306403636932,0.18662266433238983,0.25544679164886475,2
89,relu,6,7,0.01,64,332,0.11909462644408146,0.14488582978695733,0.01555121501038472,0.32399022634824115,0.03969540074467659,0.15018901228904724,0.19923704862594604,2
90,relu,6,7,0.01,128,332,0.10275889542119371,0.06261144886590408,0.014235496275126934,0.1487515329917272,0.03586412966251373,0.14355294406414032,0.1893782764673233,1
91,relu,6,7,0.001,64,332,0.1532917362584008,0.008977331257388617,0.14515136086940766,0.16579930690924327,20.34642791748047,2.1545073986053467,4.510701656341553,0
92,relu,6,7,0.001,128,332,0.10250462674101195,0.061145280962094595,0.01603291588028272,0.14605748613675434,0.03843655809760094,0.14648020267486572,0.1960524320602417,1
93,relu,6,8,0.01,64,419,0.26352379024028777,0.15466391023718995,0.14202369578679402,0.48178473544120787,21.278955459594727,2.1783642768859863,4.612911701202393,1
94,relu,6,8,0.01,128,419,0.1705726409761442,0.22004919319758065,0.012889793594678242,0.48175984334945676,0.0270556453615427,0.12586592137813568,0.16448600590229034,0
95,relu,6,8,0.001,64,419,0.07266940079298284,0.0815888665138624,0.014133851359287897,0.18804935117562613,0.03690021485090256,0.1305854171514511,0.19209428131580353,1
96,relu,6,8,0.001,128,419,0.07306324738346869,0.0807921479567559,0.015287572937707106,0.18731814698378246,0.04518268257379532,0.14621348679065704,0.2125621885061264,1
97,relu,7,3,0.01,64,96,0.43614733182059395,0.06099000746414611,0.3499010112285614,0.48019280115763346,14.530963897705078,2.6853628158569336,3.811950206756592,2
98,relu,7,3,0.01,128,96,0.4800900303257836,0.0013915834876054832,0.478344491481781,0.4817499322096507,35.76426696777344,4.768820285797119,5.980323314666748,1
99,relu,7,3,0.001,64,96,0.43640276153882346,0.06065091009626175,0.35063577016194664,0.48018999163309734,14.543099403381348,2.6939826011657715,3.8135416507720947,2
100,relu,7,3,0.001,128,96,0.43647925056351555,0.06055871242026923,0.3508425326347351,0.480192529519399,14.543622970581055,2.696038246154785,3.813610315322876,2
101,relu,7,4,0.01,64,151,0.42274860159556066,0.08234843796212171,0.3062939411799113,0.4817708549499512,29.862777709960938,3.609243392944336,5.46468448638916,1
